ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber
S214.1,1356 RESTHAVEN WAY,The Village of Gilchrist,Sumter,Jasmine,399900,3,2,1585,2 Car Garage,,28.8533951,-81.98506221,A,P,,245249
S953.13,1764 BRANDENBURG CT,The Village of Gilchrist,Sumter,Charlotte,360000,3,2,1416,"1 Car, plus Golf Car Garage",,28.86022213,-81.99636998,A,P,,245368
S697.17,17 HICKORY HEAD HAMMOCK,The Village of Hickory Head Hammock,Sumter,Rancho Mirage,799900,3,2,2616,2 Car Garage,,28.94149814,-81.95818286,A,P,,246616
S224.30,2840 APACHE CT,The Village of Pinellas,Sumter,Ivy,894900,4,2,2543,"2 Car, plus Golf Car Garage",,28.86411679,-82.00523555,A,P,,245228
S946.2,2966 ELEANOR LN,The Village of Pinellas,Sumter,Anaheim,419000,3,2,1357,"1 Car, plus Golf Car Garage",,28.861487,-82.00298654,A,P,,246343
S230.102,3331 KELVINGTON RD,The Village of Collier,Sumter,Lily,599000,3,2,2210,2 Car Garage,,28.85276253,-82.01274016,A,P,Jd-zX6HXBAc,245407
S954.58,3492 OLDHAM LN,The Village of Collier,Sumter,MODIFIED ANAHEIM,439900,3,2,1511,"1 Car, plus Golf Car Garage",,28.84860044,-82.0114577,A,P,,243620
S217.58,1488 SHALE TRAIL LOOP,The Village of Hillsborough,Sumter,Jasmine,411900,3,2,1589,2 Car Garage,,28.84737448,-81.98891167,A,P,,245439
S220.27,3567 INFINITY RUN,The Village of Hillsborough,Sumter,Lantana,559000,3,2,2035,2 Car Garage,,28.84366325,-82.00349002,A,P,,245383
S220.100,2078 VERTEX CT,The Village of Hillsborough,Sumter,Laurel Oak,975000,3,2,2345,"2 Car, plus Golf Car Garage",Swimming Pool,28.84622558,-82.00512318,A,P,,246276
S964.65,3772 VISCAYA CT,The Village of Hillsborough,Sumter,Colony,305000,2,2,1156,"1 Car, plus Golf Car Garage",,28.84145008,-82.00661808,A,P,7YL5BwLNX7Y,246245
S233.80,2005 FLOWERSVILLE PL,The Village of Lake Deaton,Sumter,Bougainvillea,389942,3,2,1392,2 Car Garage,,28.84117775,-82.00274431,A,P,,246234
S234.156,1819 ZIRCON PL,The Village of Lake Deaton,Sumter,Ivy,768000,4,2,2534,"2 Car, plus Golf Car Garage",,28.84178298,-81.99731933,A,P,,246535
S234.255,4032 WARNOCK RD,The Village of Lake Deaton,Sumter,Jasmine,479999,3,2,1593,"2 Car, plus Golf Car Garage",,28.83608491,-81.99932978,A,P,,245868
S202.91,1207 TARFLOWER TER,The Village of Dunedin,Sumter,Begonia,549000,3,2,1910,"2 Car, plus Golf Car Garage",,28.84476114,-81.98089423,A,P,,246830
S202.218,3774 TIMBER TER,The Village of Dunedin,Sumter,Lily,589000,3,2,1953,"2 Car, plus Golf Car Garage",,28.84150527,-81.98457028,A,P,e2jN7B9eYc8,244903
S961.64,945 WREN ST,The Village of Dunedin,Sumter,Arlington,449000,3,2,1654,"1 Car, plus Golf Car Garage",,28.84700865,-81.97353973,A,P,,246062
S962.51,1382 VIOLA CT,The Village of Dunedin,Sumter,Colony,329000,2,2,1156,"1 Car, plus Golf Car Garage",,28.84378697,-81.98528181,A,P,,246657
S965.48,1144 CALGARY ST,The Village of Dunedin,Sumter,Fairmont,429000,3,2,1602,,,28.84782315,-81.97898713,A,P,,246749
S971.11,574 BERMUDEZ CT,Haciendas of Mission Hills,Sumter,Charlotte,449000,3,2,1518,"1 Car, plus Golf Car Garage",,28.91971505,-81.96699359,A,P,F7oJyPhhtMI,245302
S971.31,644 CABRERA CT,Haciendas of Mission Hills,Sumter,Wyndham,699000,3,2,1715,2 Car Garage,,28.91805636,-81.96525246,A,P,fn7eCpewPMw,246579
S969.37,2919 CHARLEVOIX ST,The Village of Collier at Alden Bungalows,Sumter,Winslow,595500,3,2,1938,2 Car Garage,,28.84987296,-82.02816025,A,P,,246854
S183.120,428 POMEGRANATE PATH,The Village of Labelle,Sumter,Cedar,489500,3,2,1827,2 Car Garage,,28.85212336,-81.95860456,A,P,MeCTTG-fsfw,244375
S184.12,390 JUNCTION PL,The Village of Labelle,Sumter,Aspen,629000,3,2,2198,"2 Car, plus Golf Car Garage",,28.84766182,-81.95773641,A,P,PpzuffMI6UU,246706
S186.55,492 PINFISH CT,The Village of Labelle,Sumter,Ivy,773000,4,2,2584,"2 Car, plus Golf Car Garage",,28.85085051,-81.96178092,A,P,QGpa7uEAZhk,245754
S833.4,11218 HESS WAY,Oxford Oaks - Family Neighborhood,Sumter,Sycamore-OO,429000,3,2,1850,2 Car Garage,Swimming Pool,28.91922727,-82.05244671,A,P,,245153
S833.26,11106 LAMMER LN,Oxford Oaks - Family Neighborhood,Sumter,Sarasota,619900,4,2,2538,3 Car Garage>..<3 + Car Garage,,28.91705997,-82.05027456,A,P,,244941
S833.122,3274 SENNETT CIR,Oxford Oaks - Family Neighborhood,Sumter,CUSTOM DESIGNER,595000,3,3,1924,"2 Car, plus Golf Car Garage",Swimming Pool,28.91678731,-82.04910623,A,P,,246123
S833.428,3284 DZURO DR,Oxford Oaks - Family Neighborhood,Sumter,Putnam-OO,499900,4,2,2003,2 Car Garage,Swimming Pool,28.92128647,-82.04682802,A,P,iHVKHSpjNFo,245108
S833.492,3484 KELLAHER PL,Oxford Oaks - Family Neighborhood,Sumter,Allamanda-OO,299000,3,2,1557,2 Car Garage,,28.92233313,-82.04497749,A,P,,245113
S189.55,3724 VIEW PATH,Osceola Hills at Soaring Eagle Preserve,Sumter,Wisteria,379000,3,2,1579,2 Car Garage,,28.84081065,-81.96729232,A,P,,246931
S191.121,486 ISLAND HOUSE PATH,The Village of Osceola Hills,Sumter,Begonia,475000,3,2,1890,"2 Car, plus Golf Car Garage",,28.83577463,-81.96050352,A,P,bbfTLvRSoOU,246475
S191.142,443 JUNGLE PLUM WAY,The Village of Osceola Hills,Sumter,Aspen,449000,3,2,1943,2 Car Garage,,28.83614819,-81.95976125,A,P,,245508
S192.42,4106 DESKIN LN,The Village of Osceola Hills,Sumter,Boxwood,999999,3,2,2244,,Swimming Pool,28.8333217,-81.96103332,A,P,FG1UTZaE89g,245272
S192.58,4131 VICTORY DR,The Village of Osceola Hills,Sumter,Lilac,499900,3,2,1989,"2 Car, plus Golf Car Garage",,28.8334067,-81.96347354,A,P,arf0SBat7DM,245907
S192.84,4106 VICTORY DR,The Village of Osceola Hills,Sumter,Aspen,515000,3,2,1904,"2 Car, plus Golf Car Garage",,28.83397696,-81.96421719,A,P,ajA3zZSjDEs,245122
S194.41,4354 SPRINGDALE PATH,The Village of Osceola Hills,Sumter,Holly,625000,3,2,2101,"2 Car, plus Golf Car Garage",,28.82639931,-81.9661556,A,P,KegJUUUj0V0,246268
S958.49,4180 UNIVERSAL AVE,The Village of Osceola Hills,Sumter,Colony,319000,2,2,1170,"1 Car, plus Golf Car Garage",,28.83198481,-81.96361782,A,P,0vXP5ZiFwdg,246440
L25.26,1101 BRUSKO DR,The Village of Pine Ridge,Lake,Jasmine,420000,3,2,1679,2 Car Garage,,28.86010244,-81.94792621,A,P,bDpdQCR0-nM,246554
L25.86,3111 IVES LN,The Village of Pine Ridge,Lake,Gardenia,529000,3,2,1964,2 Car Garage,,28.85774032,-81.94489167,A,P,,246734
L26.45,3093 BLACKSTOCK WAY,The Village of Pine Ridge,Lake,Jasmine,389000,3,2,1599,2 Car Garage,,28.858147,-81.93873714,A,P,nW5GYQApBxQ,245885
L28.57,710 JONES LN,The Village of Pine Ridge,Lake,Anchor,360000,3,2,1487,2 Car Garage,,28.85584567,-81.93713056,A,P,,246732
L36.37,3269 WEBSTER WAY,The Village of Pine Ridge,Lake,Sun Kissed,347711,3,2,1392,2 Car Garage,,28.85391284,-81.94516208,A,P,,246574
L105.68,896 VASQUEZ AVE,The Village of Pine Ridge,Lake,Charlotte,378000,3,2,1424,"1 Car, plus Golf Car Garage",,28.86092841,-81.94222378,A,P,7TQEGMl6_-k,246486
L106.37,2987 KRAMER CT,The Village of Pine Ridge,Lake,Arlington,369900,3,2,1652,"1 Car, plus Golf Car Garage",,28.86061919,-81.93860697,A,P,,246758
L29.16,3263 PETERSON PL,The Village of Pine Hills,Lake,Ivy,689900,4,3,2678,2 Car Garage,,28.85387309,-81.93706262,A,P,,245295
L29.19,3283 PETERSON PL,The Village of Pine Hills,Lake,Jasmine,399000,3,2,1639,2 Car Garage,,28.85336101,-81.93732325,A,P,Kre-EwJfqpQ,244897
L29.29,3268 BURNS DR,The Village of Pine Hills,Lake,Whispering Pine,429900,3,2,2013,2 Car Garage,,28.85377199,-81.93676089,A,P,,246321
L30.9,3242 HOLLEY TER,The Village of Pine Hills,Lake,Allamanda,389000,3,2,1559,2 Car Garage,,28.85450564,-81.94089229,A,P,,245460
L32.60,3355 BLAISE TER,The Village of Pine Hills,Lake,At Ease,355000,3,2,1454,2 Car Garage,,28.8518374,-81.94184298,A,P,,246042
S207.52,2958 BURNETT TER,The Village of Fernandina at MacClenny,Sumter,Williamsburg,775000,3,2,2701,"2 Car, plus Golf Car Garage",,28.86166617,-81.97770454,A,P,,246878
S613.16,5522 PURSLANE PL,The Village of Fenney,Sumter,Arlington,494000,3,2,1636,"1 Car, plus Golf Car Garage",,28.79919794,-82.03248084,A,P,,246515
S614.12,3103 CORDGRASS CT,The Village of Fenney,Sumter,Topaz,315000,2,2,1232,2 Car Garage,,28.79594253,-82.03303008,A,P,,245746
S614.53,3066 CORDGRASS CT,The Village of Fenney,Sumter,At Ease,339750,3,2,1465,2 Car Garage,,28.79528985,-82.03226528,A,P,,246465
S3F.16,5647 KEY DEER PATH,The Village of Fenney,Sumter,Gardenia,889000,3,2,1971,"2 Car, plus Golf Car Garage",,28.79616908,-82.02842266,A,P,,245126
S4F.8,2817 MORNING GLORY TER,The Village of Fenney,Sumter,Lily,549000,3,2,1911,"2 Car, plus Golf Car Garage",,28.79453131,-82.02536218,A,P,ZcBNosRBnC8,246215
S9F.79,2891 GLENDA PL,The Village of Fenney,Sumter,Mason,874800,4,3,2276,"2 Car, plus Golf Car Garage",Swimming Pool,28.78979727,-82.02773755,A,P,FMUN-J6tock,246646
S11F.78,5874 SENN ST,The Village of Fenney,Sumter,Wisteria,379900,3,2,1569,,,28.79072945,-82.03439767,A,P,oDuwnccRoQQ,246812
S624.12,5875 MARSH CT,The Village of Fenney,Sumter,Topaz,309000,2,2,1203,2 Car Garage,,28.79050459,-82.03096706,A,P,,246638
S624.23,3031 BEARD RD,The Village of Fenney,Sumter,Moonstone,299000,2,2,1295,"1 Car, plus Golf Car Garage",,28.79177869,-82.03146661,A,P,,245737
S8F.6,5821 DYALS CT,The Village of Fenney,Sumter,Begonia,529900,3,2,2024,"2 Car, plus Golf Car Garage",,28.79188643,-82.02515002,A,P,,246308
S10F.72,2916 DIVER LOOP,The Village of Fenney,Sumter,Jasmine,419900,3,2,1576,2 Car Garage,,28.790049,-82.02822435,A,P,E8yna2hOzCk,245264
S10F.91,3024 HICKS PL,The Village of Fenney,Sumter,Begonia,525000,3,2,2290,"2 Car, plus Golf Car Garage",,28.79203139,-82.0311929,A,P,_Y9kce_jiDk,246020
S615.46,2991 GALLINULE CT,The Village of Fenney,Sumter,Ruby,279500,2,2,1269,"1 Car, plus Golf Car Garage",,28.79563342,-82.03036007,A,P,qt_Inr7UE0o,245705
S620.50,5828 TUPELO TER,The Village of DeSoto,Sumter,Carrabelle,375000,2,2,1147,"1 Car, plus Golf Car Garage",,28.79158715,-82.0132472,A,P,,246872
S621.20,2486 LAY LN,The Village of DeSoto,Sumter,Bonifay,379900,3,2,1484,2 Car Garage,,28.78559993,-82.01652366,A,P,py-67HzduYk,246651
S622.12,2436 HILL ST,The Village of DeSoto,Sumter,Onyx,364900,2,2,1314,2 Car Garage,,28.78558163,-82.01518337,A,P,,244743
S5F.95,5845 BOTNER DR,The Village of DeSoto,Sumter,Woodside,699000,4,3,2287,3 Car Garage,,28.79122024,-82.019596,A,P,,246647
S6F.79,5844 HERNDON TER,The Village of DeSoto,Sumter,Sycamore,495000,3,2,1836,3 Car Garage,,28.79134457,-82.0153969,A,P,tQN5ftSRS18,245970
S15V.91,2116 GORDON PATH,The Village of McClure,Sumter,Iris,540000,3,2,1918,"2 Car, plus Golf Car Garage",,28.79009061,-82.00603397,A,P,,246452
S17V.41,2147 CANNON LOOP,The Village of McClure,Sumter,Indigo,695000,3,3,1892,3 + Car Garage,,28.79364906,-82.0068427,A,P,,246839
S18V.7,2074 BILLER CIR,The Village of McClure,Sumter,Linden,949000,3,3,2013,"2 Car, plus Golf Car Garage",Swimming Pool,28.79728914,-82.00854457,A,P,CboEBTQiJQw,245470
S720.14,2328 SHEEHAN ST,The Village of McClure,Sumter,Ruby,274900,2,2,1148,"1 Car, plus Golf Car Garage",,28.79617669,-82.01201168,A,P,,246891
S720.37,5595 MCCRAY AVE,The Village of McClure,Sumter,Emerald,294000,2,2,1266,"1 Car, plus Golf Car Garage",,28.79716568,-82.01086902,A,P,,246550
S722.49,2292 RICHEY RD,The Village of McClure,Sumter,Newport,409000,3,2,1473,2 Car Garage,,28.79409656,-82.01113568,A,P,,246711
S20V.37,2290 SEEBALD ST,The Village of Marsh Bend,Sumter,Zinnia,924900,3,3,2255,3 Car Garage,,28.80354783,-82.01088483,A,P,,245178
S21V.9,2385 JANESY CT,The Village of Marsh Bend,Sumter,Ivy-10,1795000,4,2,2596,"2 Car, plus Golf Car Garage",Swimming Pool,28.80485779,-82.01391659,A,P,,246674
S23V.38,5444 BACON TER,The Village of Marsh Bend,Sumter,STARLING,569000,3,2,1961,"2 Car, plus Golf Car Garage",,28.80089308,-82.01706989,A,P,9UIICvOp9co,245625
S25V.48,2703 AVIDON LN,The Village of Marsh Bend,Sumter,Custom Designer,949000,3,2.5,2315,"2 Car, plus Golf Car Garage",,28.80863312,-82.02246104,A,P,,246859
S28V.8,5204 HORSFORD PATH,The Village of Marsh Bend,Sumter,Jasmine,444000,3,2,1611,2 Car Garage,,28.80685685,-82.02677392,A,P,gT67JZHDq8s,246385
S724.30,5424 ZAJAC AVE,The Village of Marsh Bend,Sumter,Topaz,349000,2,2,1203,2 Car Garage,,28.80122709,-82.01256157,A,P,,245962
